category_id,cnt,maker,model,detail,model_detail,cost_wages,cost_repairparts,cost_total,part,repair
as-0000034,21,기아,K5,K5(18),가솔린 2.0 인텔리젼트,282728.0,0,282728,,"Front bumper:repair,coating"
as-0000037,23,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 디럭스,267178.0,0,267178,Front bumper,"Front bumper:repair,coating"
as-0000208,122,기아,카니발,올뉴카니발(14),노블레스(11인승),568110.0,0,568110,,"Bumper:repair;Front bumper:repair,coating"
as-0000291,171,현대,G80,G80(16),3.3 스포즈,621294.0,0,621294,,"Front bumper:repair,coating"
as-0000320,190,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,268716.0,0,268716,,"Front bumper:repair,coating"
as-0000347,203,현대,그랜저,그랜져IG(17),가솔린 3.0 익스,298016.0,0,298016,,"Front bumper:repair,coating"
as-0000348,204,기아,K5,K5(15),가솔린 2.0 프레스티지,310916.0,0,310916,,"Front bumper:repair,coating"
as-0000634,354,기아,모닝,올 뉴 모닝(11),럭셔리,190258.0,0,190258,,Front bumper:coating
as-0000664,371,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,280246.0,0,280246,,"Front bumper:repair,coating"
as-0000716,396,현대,스타렉스,그랜드스타렉스 5밴,5인승(CVX),338096.0,0,338096,,"Front bumper:repair,coating"
as-0000720,399,한국GM,말리부,올뉴말리부(2017),1.5 터보 LTZ,315966.0,0,315966,Front bumper,"Front bumper:repair,coating"
as-0000721,400,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,313136.0,0,313136,,"Front bumper:repair,coating"
as-0000731,404,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,267616.0,0,267616,,"Front bumper:repair,coating"
as-0000782,433,현대,그랜저,HG그랜져,HG 240 (15),285098.0,0,285098,,Front bumper:coating
as-0000806,448,현대,투싼,올뉴투싼,R2.0 모던,306056.0,11400,317456,,"Front bumper:repair,coating"
as-0000960,525,기아,K3,K3(4도어)(16),프레스티지(가솔린),290546.0,0,290546,,"Front bumper:repair,coating"
as-0001093,616,기아,모닝,올뉴모닝(15),럭셔리,240316.0,0,240316,,"Front bumper:repair,coating"
as-0001182,668,현대,EQ900,EQ900,3.8 GDI 프레스티지,502864.0,0,502864,,"Front bumper:repair,coating"
as-0001187,672,기아,스포티지,스포티지(16),노블레스 2.0,317218.0,0,317218,,Front bumper:coating
as-0001262,722,현대,그랜저,HG그랜져,HG 300,318138.0,0,318138,,Front bumper:coating
as-0001268,726,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 프레스티지,266237.0,0,266237,,Front bumper:repair;Bumper:coating
as-0001310,746,기아,모닝,올뉴모닝(17),레이디,155398.0,0,155398,,Front bumper:coating
as-0001334,758,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,238339.0,0,238339,Front bumper,"Bumper:coating,exchange"
as-0001369,781,기아,K3,K3(18),노블레스,314569.0,0,314569,,Bumper:coating
as-0001372,783,현대,쏘나타,LF 쏘나타 뉴라이즈,2.0 모던,372582.0,0,372582,,"Front bumper:repair,coating"
as-0001376,786,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,261179.0,0,261179,,Bumper:coating
as-0001405,800,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,420079.0,0,420079,,Bumper:coating
as-0001416,807,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,309469.0,0,309469,,"Bumper:coating,exchange"
as-0001417,808,기아,K3,K3(18),프레스티지,225029.0,0,225029,,"Bumper:coating,exchange"
as-0001440,824,현대,싼타페,싼타페DM,디젤 2.2 2WD,468126.0,0,468126,,"Bumper:repair;Front bumper:repair,coating"
