,maker,model,detail,category_id,cnt,cost_total,repair,exchange,repaired
0,기아,K3,K3,as-0005044,2945.0,429710.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1,기아,K3,K3,as-0010204,5572.0,244168.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
2,기아,K3,K3,as-0012737,6610.0,343978.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
3,기아,K3,K3,as-0014343,7446.0,213559.0,"Bumper:coating,exchange","Bumper:coating,exchange",
4,기아,K3,K3,as-0014438,7499.0,548909.0,"Bumper:coating,exchange","Bumper:coating,exchange",
5,기아,K3,K3,as-0016100,8295.0,287941.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
6,기아,K3,K3,as-0017464,9054.0,314861.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
7,기아,K3,K3,as-0018134,9467.0,298898.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
8,기아,K3,K3,as-0021496,11398.0,668770.0,"Bumper:coating,repair",,"Bumper:coating,repair"
9,기아,K3,K3,as-0021639,11475.0,195199.0,"Bumper:coating,exchange","Bumper:coating,exchange",
10,기아,K3,K3,as-0029723,15815.0,293648.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
11,기아,K3,K3,as-0033300,18225.0,256448.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
12,기아,K3,K3,as-0034894,19444.0,337518.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
13,기아,K3,K3,as-0035945,20244.0,306239.0,Front bumper:coating,,Front bumper:coating
14,기아,K3,K3,as-0038140,21682.0,253716.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
15,기아,K3,K3,as-0039112,22220.0,281876.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
16,기아,K3,K3,as-0040192,22944.0,303011.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
17,기아,K3,K3,as-0041524,23863.0,735318.0,"Bumper:coating,exchange","Bumper:coating,exchange",
18,기아,K3,K3,as-0045832,25983.0,306428.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
19,기아,K3,K3,as-0051067,29417.0,365968.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
20,기아,K3,K3,as-0053815,30957.0,295188.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
21,기아,K3,K3,as-0053962,31032.0,313408.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
22,기아,K3,K3,as-0054553,31387.0,292536.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
23,기아,K3,K3,as-0055944,32171.0,260200.0,Wheel:exchange,Wheel:exchange,
24,기아,K3,K3,as-0059841,34760.0,387356.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
25,기아,K3,K3,as-0062729,36580.0,420007.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
26,기아,K3,K3,as-0063549,37107.0,338051.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
27,기아,K3,K3,as-0065426,38254.0,421457.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
28,기아,K3,K3,as-0065551,38322.0,333059.0,"Bumper:coating,exchange","Bumper:coating,exchange",
29,기아,K3,K3,as-0068944,39981.0,280806.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
30,기아,K3,K3,as-0073950,43088.0,852422.0,"Bumper:coating,exchange","Bumper:coating,exchange",
31,기아,K3,K3,as-0077220,45056.0,443082.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
32,기아,K3,K3,as-0077823,45443.0,399989.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
33,기아,K3,K3,as-0078005,45561.0,388815.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
34,기아,K3,K3,as-0082011,48383.0,544807.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
35,기아,K3,K3,as-0083678,49470.0,393718.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
36,기아,K3,K3,as-0093691,54164.0,340054.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
37,기아,K3,K3,as-0096209,55345.0,383104.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
38,기아,K3,K3,as-0096209,35345.0,383104.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
39,기아,K3,K3,as-0093691,34164.0,340054.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
40,기아,K3,K3,as-0083678,29470.0,393718.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
41,기아,K3,K3,as-0082011,28383.0,544807.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
