,maker_num,model_num,detail_num,cost,exchange
0,81,82,82,352680,"Front bumper:exchange,coating"
1,1,13,42,568110,"Bumper:repair;Front bumper:repair,coating"
2,97,150,152,351230,"Rear bumper:coating,exchange"
3,71,80,80,229788,"Front bumper:exchange,coating"
4,97,105,106,219888,"Front bumper:exchange,coating"
5,97,144,147,264798,"Rear bumper:coating,exchange"
6,1,13,42,251718,Front bumper:coating;Rear bumper:exchange
7,1,20,20,528788,"Rear bumper:coating,exchange"
8,97,105,106,308238,"Rear bumper:coating,exchange"
9,97,144,147,411028,"Front bumper:exchange,coating"
10,1,15,39,198898,"Front bumper:exchange,coating"
11,1,13,42,291048,"Rear bumper:coating,exchange"
12,97,162,168,186888,"Front bumper:exchange,coating"
13,1,13,42,221518,"Rear bumper:coating,exchange"
14,97,150,152,251738,"Rear bumper:coating,exchange"
15,1,15,39,223178,"Front bumper:exchange,coating"
16,97,144,147,259988,"Rear bumper:coating,exchange"
17,97,162,162,229278,"Rear bumper:coating,exchange"
18,1,30,30,209548,"Front bumper:exchange,coating"
19,1,15,39,399138,"Rear bumper:coating,exchange"
20,1,14,35,187558,"Rear bumper:coating,exchange"
21,1,20,20,246458,"Front bumper:exchange,coating"
22,1,22,22,367678,"Front bumper:exchange,coating"
23,1,8,34,233248,"Front bumper:exchange,coating"
24,1,8,8,309798,"Rear bumper:coating,exchange"
25,1,14,38,162568,"Front bumper:exchange,coating"
26,1,13,42,260378,"Front bumper:exchange,coating"
27,1,8,34,240658,"Front bumper:exchange,coating"
28,1,8,8,327088,"Rear bumper:coating,exchange"
29,97,144,147,297448,"Rear bumper:coating,exchange"
30,97,118,122,429878,"Rear bumper:coating,exchange"
31,1,15,39,411868,"Front bumper:exchange,coating"
32,97,105,130,458358,"Rear bumper:coating,exchange"
33,97,97,97,302678,"Rear bumper:coating,exchange"
34,97,118,120,373182,"Rear bumper:coating,exchange"
35,97,99,165,273118,"Rear bumper:coating,exchange"
36,1,13,42,578078,"Rear bumper:coating,exchange"
37,1,25,26,196308,"Rear bumper:coating,exchange"
38,1,14,38,206098,"Rear bumper:coating,exchange"
39,97,99,165,305478,"Front bumper:exchange,coating"
40,1,15,39,248598,"Front bumper:exchange,coating"
41,97,133,133,299598,"Rear bumper:coating,exchange"
42,81,90,90,568468,"Rear bumper:coating,exchange"
43,97,131,159,221328,"Rear bumper:coating,exchange"
